rh-�c Arme�aAIR,Time,Celsius(�C),Humidity(%rh),Dew Point(�C),Serial Number
1,2020-09-11 09:00:00,19.0,38.5,4.6,010232498
2,2020-09-11 10:00:00,16.0,46.0,4.4
3,2020-09-11 11:00:00,16.5,44.5,4.4
4,2020-09-11 12:00:00,16.5,45.0,4.5
5,2020-09-11 13:00:00,16.5,45.0,4.5
6,2020-09-11 14:00:00,15.5,48.5,4.7
7,2020-09-11 15:00:00,15.5,49.5,5.0
8,2020-09-11 16:00:00,15.0,54.0,5.8
9,2020-09-11 17:00:00,14.0,59.5,6.2
10,2020-09-11 18:00:00,13.0,65.0,6.6
11,2020-09-11 19:00:00,12.0,67.5,6.2
12,2020-09-11 20:00:00,10.5,71.5,5.6
13,2020-09-11 21:00:00,10.0,73.0,5.4
14,2020-09-11 22:00:00,9.5,74.5,5.2
15,2020-09-11 23:00:00,9.5,75.0,5.3
16,2020-09-12 00:00:00,9.0,76.5,5.1
17,2020-09-12 01:00:00,9.0,77.0,5.2
18,2020-09-12 02:00:00,8.5,77.5,4.8
19,2020-09-12 03:00:00,8.5,78.5,5.0
20,2020-09-12 04:00:00,8.0,76.5,4.1
21,2020-09-12 05:00:00,8.0,76.0,4.0
22,2020-09-12 06:00:00,10.0,58.5,2.2
23,2020-09-12 07:00:00,12.5,55.0,3.7
24,2020-09-12 08:00:00,14.0,48.5,3.3
25,2020-09-12 09:00:00,15.5,53.5,6.1
26,2020-09-12 10:00:00,13.0,63.5,6.2
27,2020-09-12 11:00:00,15.5,58.0,7.3
28,2020-09-12 12:00:00,17.5,50.0,7.0
29,2020-09-12 13:00:00,15.5,53.5,6.1
30,2020-09-12 14:00:00,17.5,48.5,6.5
31,2020-09-12 15:00:00,17.0,48.0,5.9
32,2020-09-12 16:00:00,18.0,46.5,6.4
33,2020-09-12 17:00:00,15.0,54.5,5.9
34,2020-09-12 18:00:00,13.0,59.0,5.2
35,2020-09-12 19:00:00,12.0,63.0,5.2
36,2020-09-12 20:00:00,11.0,66.0,4.9
37,2020-09-12 21:00:00,11.0,68.0,5.3
38,2020-09-12 22:00:00,11.0,66.0,4.9
39,2020-09-12 23:00:00,10.5,68.0,4.9
40,2020-09-13 00:00:00,10.0,67.5,4.3
41,2020-09-13 01:00:00,9.0,70.0,3.8
42,2020-09-13 02:00:00,9.0,70.5,3.9
43,2020-09-13 03:00:00,9.0,66.5,3.1
44,2020-09-13 04:00:00,9.0,62.0,2.1
45,2020-09-13 05:00:00,8.5,64.0,2.1
46,2020-09-13 06:00:00,9.5,61.5,2.5
47,2020-09-13 07:00:00,15.0,48.5,4.2
48,2020-09-13 08:00:00,18.5,40.0,4.7
49,2020-09-13 09:00:00,17.5,47.5,6.2
50,2020-09-13 10:00:00,17.0,48.0,5.9
51,2020-09-13 11:00:00,17.0,44.5,4.8
52,2020-09-13 12:00:00,18.0,43.0,5.2
53,2020-09-13 13:00:00,18.0,42.0,4.9
54,2020-09-13 14:00:00,16.5,43.5,4.1
55,2020-09-13 15:00:00,18.5,39.0,4.3
56,2020-09-13 16:00:00,18.5,40.0,4.7
57,2020-09-13 17:00:00,15.0,50.5,4.8
58,2020-09-13 18:00:00,13.5,57.0,5.2
59,2020-09-13 19:00:00,13.0,61.0,5.7
60,2020-09-13 20:00:00,12.5,61.0,5.2
61,2020-09-13 21:00:00,12.0,49.5,1.8
62,2020-09-13 22:00:00,11.5,40.5,-1.4
63,2020-09-13 23:00:00,10.5,53.5,1.5
64,2020-09-14 00:00:00,10.0,55.0,1.4
65,2020-09-14 01:00:00,10.0,55.0,1.4
66,2020-09-14 02:00:00,9.5,55.0,0.9
67,2020-09-14 03:00:00,9.5,59.5,2.0
68,2020-09-14 04:00:00,9.0,69.5,3.7
69,2020-09-14 05:00:00,9.0,72.5,4.3
70,2020-09-14 06:00:00,8.5,74.0,4.1
71,2020-09-14 07:00:00,12.5,65.0,6.1
72,2020-09-14 08:00:00,17.0,49.0,6.2
73,2020-09-14 09:00:00,15.5,48.5,4.7
74,2020-09-14 10:00:00,17.0,47.0,5.6
75,2020-09-14 11:00:00,17.5,44.0,5.1
76,2020-09-14 12:00:00,17.5,44.5,5.3
77,2020-09-14 13:00:00,18.0,43.0,5.2
78,2020-09-14 14:00:00,18.5,39.0,4.3
